date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:17	66709/66709	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:23:00%20GMT	https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html	(from )
16:28:20	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Jan%202023%2013:37:45%20GMT	https://www.okler.net/robots.txt		(from )
16:28:20	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2016%20Aug%202023%2017:38:58%20GMT	https://www.okler.net/previews/porto/10.2.0/img/favicon.ico	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/img/favicon.ico	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:20	1608/1608	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202023%2017:38:58%20GMT	https://www.okler.net/previews/porto/10.2.0/img/apple-touch-icon.png	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/img/apple-touch-icon.png	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:20	232803/232803	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2012:53:26%20GMT	https://www.okler.net/previews/porto/10.2.0/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/vendor/bootstrap/css/bootstrap.min.css	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:21	102641/102641	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2012:53:26%20GMT	https://www.okler.net/previews/porto/10.2.0/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/vendor/fontawesome-free/css/all.min.css	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:21	70598/70598	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2012:53:26%20GMT	https://www.okler.net/previews/porto/10.2.0/vendor/animate/animate.compat.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/vendor/animate/animate.compat.css	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:21	10955/10955	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2012:53:26%20GMT	https://www.okler.net/previews/porto/10.2.0/vendor/simple-line-icons/css/simple-line-icons.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/vendor/simple-line-icons/css/simple-line-icons.min.css	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:21	3351/3351	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2012:53:26%20GMT	https://www.okler.net/previews/porto/10.2.0/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
16:28:21	1013/1013	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202024%2012:53:26%20GMT	https://www.okler.net/previews/porto/10.2.0/vendor/owl.carousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/porto/www.okler.net/previews/porto/10.2.0/vendor/owl.carousel/assets/owl.theme.default.min.css	(from https://www.okler.net/previews/porto/10.2.0/demo-business-consulting-4.html)
